Michigan Wolverines,Saint Louis Billikens,-12.5,161.5
Michigan State Spartans,Louisville Cardinals,-4.5,150.5
Duke Blue Devils,TCU Horned Frogs,-11.5,139.5
Houston Cougars,Texas A&M Aggies,-10.5,141.5
Gonzaga Bulldogs,Texas Longhorns,-6.5,147.5
Illinois Fighting Illini,VCU Rams,-10.5,151.5
Vanderbilt Commodores,Nebraska Cornhuskers,-1.5,146.5
Arkansas Razorbacks,High Point Panthers,-11.5,143.0
Purdue Boilermakers,Miami Hurricanes,-7.5,149.5
Iowa State Cyclones,Kentucky Wildcats,-4.5,145.5
St. John's Red Storm,Kansas Jayhawks,-2.5,143.5
Tennessee Volunteers,Virginia Cavaliers,-1.5,137.5
Florida Gators,Iowa Hawkeyes,-11.5,146.5
Arizona Wildcats,Utah State Aggies,-11.5,156.5
UConn Huskies,UCLA Bruins,-4.5,139.5
Alabama Crimson Tide,Texas Tech Red Raiders,-1.5,165.5
